10001 50042.64056430888 36016.22467210791  
10002 52319.38825704045 1296.3115913945667 1500.0 
10003 66095.74830894906 35407.39113090524 1500.0 
10004 116043.58068164121 27361.612458786116 1500.0 
10005 26639.18053076874 43536.61530886882 1500.0 
10006 107143.2181723202 16598.99026505886 1500.0 
10007 9156.994724874861 38995.93961200573 1500.0 
10008 104811.52833501795 48427.0331410466 1500.0 
10009 1244.8984662839946 25093.729607436937 1500.0 
10010 92558.47719200952 1037.597467970075 1500.0 
10011 21632.362665212302 973.7620743812292 1500.0 
10012 18499.541085560686 37002.48482577024 1500.0 
10013 93324.28926885843 11877.061001745615 1500.0 
10014 61673.20125272283 38658.25260396484 1500.0 
10015 101858.12367222944 8944.796246049924 1500.0 
10016 26794.929498424663 26158.167070033804 1500.0 
10017 35359.800322453164 26529.337780264705 1500.0 
10018 78044.909008751 25272.668686742145 1500.0 
10019 11704.03220993419 38062.485833742816 1500.0 
10020 70575.69612927291 44885.6863954709 1500.0 
10021 5846.985697095275 14455.482989490842 1500.0 
10022 25015.264483061113 24084.053088168293 1500.0 
10023 62075.74606159071 47348.1301907407 1500.0 
10024 115202.07640031022 34975.6024974788 1500.0 
10025 104414.89639526543 29113.846433627987 1500.0 
10026 36952.1943149965 25969.573965265037 1500.0 
10027 51086.56926226749 40729.18702472763 1500.0 
10028 87481.64907469429 28061.980116382056 1500.0 
10029 103651.19826840995 14245.29826138134 1500.0 
10030 77297.2243282002 19037.42448175583 4500.0 
10031 34326.458599261874 47905.27832595 4500.0 
10032 103066.71207516476 18635.557748763997 4500.0 
10033 29821.21529252759 22498.771052539774 4500.0 
10034 4627.401705769159 39005.02302623375 4500.0 
10035 54966.593786890866 15417.480348245583 4500.0 
10036 87420.86299148707 30080.710618510664 4500.0 
10037 113339.59234287683 23204.90871522038 4500.0 
10038 46172.77434200925 42985.39232953095 4500.0 
10039 65626.69873744257 39894.95106413026 4500.0 
10040 48922.44336963433 2768.302005593004 4500.0 
10041 30110.834849392817 2304.7910336305877 4500.0 
10042 44944.814261683496 47535.71532049581 4500.0 
10043 13806.547966773474 30453.32696397407 4500.0 
10044 100181.05783987793 5239.805218493488 4500.0 
10045 118681.38161707201 27477.236342236272 4500.0 
10046 94059.88209669008 31741.685302636506 4500.0 
10047 13618.616627237943 48724.15472182283 4500.0 
10048 2098.8325117383156 44578.66335901292 4500.0 
10049 36115.73470270975 12353.091598090721 4500.0 
10050 59352.197464562574 11404.15522246681 4500.0 
10051 81087.76986042628 2235.609110147302 4500.0 
10052 98773.24088517504 1305.8990784933667 4500.0 
10053 101599.48886521606 28058.27701325171 4500.0 
10054 50421.956056892865 18161.974848254282 4500.0 
10055 11172.99440062296 48582.795999489375 4500.0 
10056 118103.02206510921 16670.613300732668 4500.0 
10057 10481.957148261008 11523.854977586401 4500.0 
10058 43812.66996272327 22560.295794666898 4500.0 
10059 110884.21386893104 7893.5290267395985 4500.0 
10060 36104.79960559425 9347.2908170939 4500.0 
10061 98936.33710959382 9067.486624859988 7500.0 
10062 4050.5652507849986 24455.375398279233 7500.0 
10063 66472.92270007037 19812.394685268337 7500.0 
10064 45491.82305205241 28354.9083589807 7500.0 
10065 26237.406017664725 1570.1359751290279 7500.0 
10066 18514.509375753096 6684.978035003297 7500.0 
10067 65502.17159219743 42942.830529567946 7500.0 
10068 31124.576393813208 2168.052558095013 7500.0 
10069 35549.899400692026 40453.38578366634 7500.0 
10070 111297.66463427505 43621.31472046078 7500.0 
10071 22269.032978224717 19329.9651521035 7500.0 
10072 12808.584270637286 34217.13166393437 7500.0 
10073 77122.78989432949 26931.046548447346 7500.0 
10074 24264.27521162896 39227.38020552805 7500.0 
10075 68272.82641430947 3298.2113794721213 7500.0 
10076 37299.575970762635 40949.3610359425 7500.0 
10077 110293.08381590182 32109.77999619277 7500.0 
10078 5781.747300028522 34048.15069338589 7500.0 
10079 60080.17516084574 23403.371297405756 7500.0 
10080 62629.88598003058 34970.31835073321 7500.0 
10081 42650.29413662838 17042.44383446508 7500.0 
10082 33027.08037616052 31961.538046263482 7500.0 
10083 30845.09125261679 34189.37915355362 7500.0 
10084 5524.91923577826 18512.115805779962 7500.0 
10085 74444.85774639073 25447.653432270352 7500.0 
10086 24312.834435466855 10354.655203048656 7500.0 
10087 78751.70222795483 47745.06884566138 7500.0 
10088 77706.12592236281 25357.484410654008 7500.0 
10089 59963.31845626008 12796.85671558351 7500.0 
10090 18366.50385193763 7884.283050470364 10500.0 
10091 24120.43153415687 16451.023324609097 10500.0 
10092 106305.65993251509 39429.07834018623 10500.0 
10093 72762.52053317706 32875.57843089078 10500.0 
10094 86326.294349275 30361.058781099477 10500.0 
10095 27456.41850682814 9534.400931209148 10500.0 
10096 25762.4266820192 45475.11856708318 10500.0 
10097 100433.29491174284 48511.79259701649 10500.0 
10098 87872.06976826223 28359.450772544238 10500.0 
10099 80673.42703569501 24403.919962029187 10500.0 
10100 65208.59301491585 13918.469254689808 10500.0 
10101 61967.83532429354 28533.37934340699 10500.0 
10102 71721.79019232758 33799.3452186142 10500.0 
10103 51853.34467210831 8710.76315994153 10500.0 
10104 17750.47492177017 11414.917849998325 10500.0 
10105 10048.790867565862 16675.31462395005 10500.0 
10106 1027.7757298054846 47715.333654086746 10500.0 
10107 19524.595133416184 37739.043882567494 10500.0 
10108 28033.336318032714 1719.3811051621599 10500.0 
10109 73375.26139800002 24571.320227615 10500.0 
10110 13927.06347661012 32922.76908730767 10500.0 
10111 73460.42107411425 8453.487717281821 10500.0 
10112 45006.855464794215 32015.23099613221 10500.0 
10113 102238.25912761058 3695.179942112997 10500.0 
10114 18195.836061017606 43437.26403706563 10500.0 
10115 23531.07716879273 35138.72003982085 10500.0 
10116 45020.23599465347 17435.370382301313 10500.0 
10117 54169.33517777545 14966.655537190327 10500.0 
10118 113118.18848320542 28956.894649739334 10500.0 
10119 101741.25030745409 24891.560489636788 10500.0 
10120 81354.6657850291 25647.940112978125 10500.0 
10121 118037 -4808 1500.0 
10122 79256 90879 1500.0 
10123 61530 67049 1500.0 
10124 105397 110705 1500.0 
10125 25683 8638 1500.0 
10126 107449 31187 1500.0 
10127 51615 39689 1500.0 
10128 60083 15940 1500.0 
10129 76364 -4986 1500.0 
10130 73209 84735 1500.0 
10131 26543 11584 1500.0 
10132 30177 26482 1500.0 
10133 55689 15324 1500.0 
10134 107355 69192 1500.0 
10135 -2376 -1924 1500.0 
10136 95129 123241 1500.0 
10137 54753 24959 1500.0 
10138 84483 81256 1500.0 
10139 72677 89682 1500.0 
10140 82634 27135 1500.0 
10141 70841 60863 1500.0 
10142 99429 14932 1500.0 
10143 97091 117718 1500.0 
10144 -9101 -3500 1500.0 
10145 19828 80430 1500.0 
10146 44069 48470 1500.0 
10147 -4861 108456 1500.0 
10148 32241 81653 1500.0 
10149 749 50962 1500.0 
10150 38045 88804 1500.0 
10151 17518 -9972 1500.0 
10152 967 98075 1500.0 
10153 94152 121650 1500.0 
10154 93546 33498 1500.0 
10155 105983 31911 1500.0 
10156 128401 17436 1500.0 
10157 10843 110483 1500.0 
10158 22161 108837 1500.0 
10159 50809 111748 1500.0 
10160 102859 20727 1500.0 
10161 24752 122003 1500.0 
10162 111958 121932 1500.0 
10163 4148 30753 1500.0 
10164 4100 39723 1500.0 
10165 127630 127084 1500.0 
10166 71085 20248 1500.0 
10167 93559 41078 1500.0 
10168 123683 33355 1500.0 
10169 -9574 71397 1500.0 
10170 93904 49358 1500.0 
10171 38126 90409 1500.0 
10172 32652 46845 1500.0 
10173 25701 45717 1500.0 
10174 62815 95797 1500.0 
10175 117437 -5238 1500.0 
10176 124336 68478 1500.0 
10177 25791 1990 1500.0 
10178 13577 108670 1500.0 
10179 92577 121735 1500.0 
10180 123325 -3457 1500.0 
